"jobcandidateid","Emp_StartDate","Emp_EndDate","Emp_OrgName","Emp_JobTitle","Emp_Responsibility","Emp_FunctionCategory","Emp_IndustryCategory","Emp_Loc_CountryRegion","Emp_Loc_State","Emp_Loc_City"
1,2000-06-01,2002-09-30,Wingtip Toys,Lead Machinist," Supervised work of staff of four machinists. Coordinated all complex assembly and tooling activities, including production of tricycles and wagons.\nDeveloped parts fabrication from sample parts, drawings and verbal orders.Worked with ISO9000 implementation.\n        ",Production,Manufacturing,US ,MI ,Saginaw
1,1996-11-15,2000-05-01,Blue Yonder Airlines,Machinist,Repaired and maintained a variety of production and fabrication machine tools.\nSet up and operated machines to close tolerances. Used and wrote CNC machine programs. Trained extensively in computer-aided manufacturing.\n        ,Production,Manufacturing,US ,IL ,Chicago
1,1994-06-10,1996-07-22,City Power and Light,Assistant Machinist,"Performed centerless grinding. Received training in manual mill and lathe machines, as well as micrometers and calipers.\nOwned complete toolset.Worked extensive overtime on request. ",Production,Manufacturing,US ,IA ,Des Moines
2,1994-06-15,,Wingtip Toys,Production Manager,Production manager Quality assurance lead Safety representative ISO 9000 certification lead\nProduction line worker\n,Production,Manufacturing,US ,FL ,Orlando
3,1998-08-31,2002-12-28,Trey Research,Senior Developer," Used C# and ASP.NET to create several intranet applications. These included an application to analyze research data using SQL Server Analysis Services, and another to publish sales and financial reports for use by field offices.\nWrote C# and Visual Basic 6.0 DLLs to encapsulate the business logic for all new internal applications. Updated existing client-server system, moved all business logic to the middle tier to improve performance and scalability. Used Visual Basic 6.0. \nAssist in the database design and stored procedure creation for all new applications. Use both SQL Server 7.0 and SQL Server 2000.\n        ",Technology,Market Research,US ,WA ,Renton
3,1995-06-15,1998-08-01,Contoso Pharmaceuticals,Windows Programmer,"Wrote Visual Basic 5.0 ActiveX DLLs to encapsulate the business logic for all internal applications. Designed and implemented a Windows application to consolidate and display business information from several different sources, including Access, Excel And SQL Server. Used Visual Basic 5.0 and Crystal Reports. Assisted in the database design for a new product quality assurance application. Wrote all stored procedures required for data retrieval by the front-end application. Used SQL Server 7.0.\n        ",Technology,Pharmaceuticals,US ,WA ,Bellevue
3,1993-05-10,1995-06-01,Southridge Video,Purchasing Manager,"Tracked inventory in regional stores. Placed all necessary orders, managed vendor relationships. Built an Access 2.0 database, migrated inventory tracking from Excel to Access. Built a user interface for the Access inventory database using Visual Basic 4.0.\n",Purchasing,Entertainment,US ,WA ,Kent
4,1998-03-01,2000-12-30,Wide World Imports,Sales Manager," Managed a sales force of 20 sales representatives and 5 support staff distributed across 5 states. Also managed relationships with vendors for lead generation.\nLead the effort to leverage IT capabilities to improve communication with the field. Improved lead-to-contact turnaround by 15 percent. Did all sales planning and forecasting. Re-mapped territory assignments for maximum sales force productivity. Worked with marketing to map product placement to sales strategy and goals. \nUnder my management, sales increased 10% per year at a minimum.\n        ",Sales,Import/Export,US ,WA ,Renton
4,1992-06-14,1998-06-01,Fourth Coffee,Sales Associater,"Selling product to supermarkets and cafes. Worked heavily with value-add techniques to increase sales volume, provide exposure to secondary products.\nSkilled at order development. Observed and built relationships with buyers that allowed me to identify opportunities for increased traffic.\n",Sales,Food and Beverage,US ,WA ,Spokane
5,1998-03-31,1998-03-31,Importations Internationales,Directeur commercial,"Gestion d'une ̩quipe de vente compos̩e de 20 repr̩sentants et de 5 assistants r̩partis dans cinq d̩partements. Gestion des relations avec les vendeurs dans l'optique de la g̩n̩ration de prospects.\nOptimisation du syst̬me informatique dans le but d'am̩liorer les communications avec les repr̩sentants sur le terrain. Am̩lioration de 15 % du cycle prospect-contact.\nR̩alisation de toutes les op̩rations de planification et de pr̩vision. Red̩finition des affectations g̩ographiques afin d'optimiser la productivit̩ de l'̩quipe de vente. Collaboration avec le service Marketing pour faire correspondre le positionnement des produits avec la strat̩gie et les objectifs de ventes. \nSous ma direction, les ventes ont augment̩ de 10 % par an au minimum.\n        ",Ventes,Import/Export,France,Bouches-du-Rh̫ne,Martigues
